whichgroup,round,rematching,variability_contributions
4,17,assortatively,1
4,17,not,0
4,17,randomly,4.358898943540674
4,18,assortatively,3
4,18,not,0
4,18,randomly,3.2145502536643185
4,19,assortatively,0
4,19,not,0.7071067811865476
4,19,randomly,4.509249752822894
4,20,assortatively,0.5773502691896257
4,20,not,0.7071067811865476
4,20,randomly,1
5,2,assortatively,0.5773502691896257
5,2,not,1.1547005383792515
5,3,assortatively,0.5773502691896257
5,3,not,1
5,4,assortatively,1.0408329997330663
5,4,not,2.0816659994661326
5,5,assortatively,3
5,5,not,2.309401076758503
5,6,assortatively,0.5773502691896257
5,6,not,2.309401076758503
5,7,assortatively,0.5773502691896257
5,7,not,1.7320508075688772
5,8,assortatively,0.5773502691896257
5,8,not,2.886751345948129
5,9,assortatively,1.7320508075688772
5,9,not,3.2145502536643185
5,10,assortatively,0.5773502691896257
5,10,not,1.7320508075688772
5,11,assortatively,3.0550504633038935
5,11,not,1.1547005383792515
5,12,assortatively,0
5,12,not,1.1547005383792515
5,13,assortatively,3.605551275463989
5,13,not,1.1547005383792515
5,14,assortatively,1
5,14,not,2.1213203435596424
5,15,assortatively,2.309401076758503
5,15,not,0
5,16,assortatively,1.1547005383792515
5,16,not,2.1213203435596424
5,17,assortatively,4.358898943540674
5,17,not,0.7071067811865476
5,18,assortatively,1.7320508075688772
5,18,not,2.8284271247461903
5,19,assortatively,1
5,19,not,0
5,20,assortatively,1.1547005383792515
5,20,not,2.1213203435596424
6,2,assortatively,1.5275252316519468
6,2,not,1.0606601717798212
6,3,assortatively,1.1547005383792515
6,3,not,0.3535533905932738
6,4,assortatively,1
6,4,not,0
6,5,assortatively,1
6,5,not,0
6,6,assortatively,1
6,6,not,0
6,7,assortatively,1.5275252316519468
6,7,not,2.4748737341529163
6,8,assortatively,1.4142135623730951
6,8,not,4.596194077712559
6,9,assortatively,3.5355339059327378
6,9,not,0.7071067811865476
6,10,assortatively,3.5355339059327378
6,10,not,0
6,11,assortatively,2.1213203435596424
6,11,not,0
6,12,assortatively,1.4142135623730951
6,12,not,0
6,13,assortatively,0.7071067811865476
6,13,not,0
6,14,assortatively,4.242640687119285
6,14,not,0
6,15,assortatively,1.4142135623730951
6,15,not,0
6,16,assortatively,1.4142135623730951
6,16,not,0
6,17,assortatively,0
6,17,not,0
6,18,assortatively,3.5355339059327378
6,18,not,0
6,19,assortatively,1.4142135623730951
6,19,not,0
6,20,assortatively,0
6,20,not,0
7,2,assortatively,1
7,2,not,2.516611478423583
7,3,assortatively,1
7,3,not,2.0816659994661326
7,4,assortatively,0.7071067811865476
7,4,not,0.5773502691896257
7,5,assortatively,0
7,5,not,1.5275252316519468
7,6,assortatively,2.8284271247461903
7,6,not,0.5773502691896257
7,7,not,1.4142135623730951
7,8,not,0.7071067811865476
7,9,not,0.7071067811865476
7,10,not,0.7071067811865476
7,11,not,0.3535533905932738
7,12,not,0.3535533905932738
7,13,not,0
7,14,not,0.7071067811865476
7,15,not,0.7071067811865476
7,16,not,0.7071067811865476
7,17,not,0.7071067811865476
7,18,not,1.4142135623730951
7,19,not,1.7677669529663689
7,20,not,2.1213203435596424
8,2,assortatively,4.242640687119285
8,2,not,1.5275252316519468
8,3,not,1.1547005383792515
8,4,not,0.5773502691896257
8,5,not,0
8,6,not,0.5773502691896257
8,7,not,0.5773502691896257
8,8,not,1
8,9,not,0
8,10,not,1.1547005383792515
8,11,not,0
8,12,not,0
8,13,not,0
8,14,not,0.5773502691896257
8,15,not,0
8,16,not,0
8,17,not,0
8,18,not,0
8,19,not,0
8,20,not,0
